2014/07/17,STK14018,0.58,Bol,,,Stock
2014/07/17,1407045,0.17,Bol,,,
2014/07/17,1407028,0.17,Bol,,,
2014/07/17,1407076,0.33,Bol,,,
2014/07/17,1407083,1.75,Bol,,,
2014/07/17,1406131,2,Ben,,,
2014/07/17,1406131,2.83,Ben,,,
2014/07/17,1406131,1.25,Ben,,,
2014/07/17,1407008,0.25,Ben,,,
2014/07/17,1406131,1.5,Ben,,,
2014/07/17,1407044,1.75,Apl,MH,20,
2014/07/17,1407033,0.25,Apl,,,
2014/07/17,1407033,0.08,Apl,,,
2014/07/17,1407034,2.33,Apl,,,
2014/07/17,1407093,0.22,Apl,,,
2014/07/17,1406124,0.2,Apl,,,
2014/07/17,1406124,3,Apl,,,
2014/07/17,Team Meeting,0.83,,TM,50,
2014/07/17,1407052,1.17,Cut,CL,30,
2014/07/17,1407028,1.33,Cut,,,
2014/07/17,1407045,0.25,Cut,,,
2014/07/17,1407076,0.42,Cut,,,
2014/07/17,1407048,0.08,Cut,,,
2014/07/17,1407093,0.75,Cut,MH,40,Forklift
2014/07/17,1407048,0.75,Cut,MH,40,Forklift
2014/07/17,1407091,0.5,Cut,,,
2014/07/17,1407083,1.25,Cut,,,
2014/07/17,1407087,0.5,Cut,,,
2014/07/17,Stock,2,Sp,,,Stock
2014/07/17,Stock,2.5,Sp,,,Stock
2014/07/17,1407089,0.33,Sp,,,
2014/07/17,1407089,3,Sp,,,
2014/07/17,1407089,1.83,Sp,,,
2014/07/17,1407052,2,Riv,,,
2014/07/17,1407052,2.58,Riv,MH,25,Unloading
2014/07/17,1407008,0.25,Riv,,,
2014/07/17,1407008,2.25,Riv,,,
2014/07/17,1407093,0.25,Riv,,,
2014/07/17,1407052,0.5,Riv,,,
2014/07/17,1407064,1.25,Apl,,,
2014/07/17,1407074,0.25,Apl,,,
2014/07/17,1407052,0.5,Apl,CL,15,Tea
2014/07/17,1407052,0.58,Apl,,,
2014/07/17,1406116,2.25,Apl,CL,15,
2014/07/17,1406124,3,Apl,,,
2014/07/17,Team Meeting,0.47,,TM,28,
2014/07/17,1406172,1.53,Apl,,,
2014/07/17,1406172,2.83,Apl,,,
2014/07/17,1406172,1.93,Apl,,,
2014/07/17,1407008,0.33,Riv,,,
2014/07/17,1407008,0.28,Pk,,,
